offer_path,cv_path,score
../scraping/offres\AI_and_ML\AI Engineer_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_68.txt,0.3
../scraping/offres\AI_and_ML\AI Engineer_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_16.txt,0.2
../scraping/offres\AI_and_ML\AI Engineer_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_70.txt,0.2
../scraping/offres\AI_and_ML\AI Engineer_job_1.txt,../scraping/cvs\others\others_cv_107.txt,0.1
../scraping/offres\AI_and_ML\AI Engineer_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_221.txt,0.2
../scraping/offres\AI_and_ML\AI Researcher_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_87.txt,0.2
../scraping/offres\AI_and_ML\AI Researcher_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_19.txt,0.3
../scraping/offres\AI_and_ML\AI Researcher_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_18.txt,0.3
../scraping/offres\AI_and_ML\AI Researcher_job_1.txt,../scraping/cvs\Web_Development\Web_Development_cv_35.txt,0.1
../scraping/offres\AI_and_ML\Artificial Intelligence_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_88.txt,0.3
../scraping/offres\AI_and_ML\Artificial Intelligence_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_16.txt,0.4
../scraping/offres\AI_and_ML\Artificial Intelligence_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_63.txt,0.2
../scraping/offres\AI_and_ML\Artificial Intelligence_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_105.txt,0.2
../scraping/offres\AI_and_ML\Artificial Intelligence_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_131.txt,0.45
../scraping/offres\AI_and_ML\Computer Vision_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_74.txt,0.3
../scraping/offres\AI_and_ML\Computer Vision_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_1.txt,0.6
../scraping/offres\AI_and_ML\Computer Vision_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_30.txt,0.2
../scraping/offres\AI_and_ML\Computer Vision_job_1.txt,../scraping/cvs\others\others_cv_331.txt,0.1
../scraping/offres\AI_and_ML\Computer Vision_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_18.txt,0.4
../scraping/offres\AI_and_ML\Data Scientist_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_17.txt,0.4
../scraping/offres\AI_and_ML\Data Scientist_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_86.txt,0.5
../scraping/offres\AI_and_ML\Data Scientist_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_32.txt,0.6
../scraping/offres\AI_and_ML\Data Scientist_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_9.txt,0.3
../scraping/offres\AI_and_ML\Data Scientist_job_1.txt,../scraping/cvs\others\others_cv_316.txt,0.1
../scraping/offres\AI_and_ML\Deep Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_53.txt,0.3
../scraping/offres\AI_and_ML\Deep Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_55.txt,0.2
../scraping/offres\AI_and_ML\Deep Learning_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_12.txt,0.3
../scraping/offres\AI_and_ML\Deep Learning_job_1.txt,../scraping/cvs\Web_Development\Web_Development_cv_41.txt,0.15
../scraping/offres\AI_and_ML\Deep Learning_job_1.txt,../scraping/cvs\others\others_cv_279.txt,0.1
../scraping/offres\AI_and_ML\Machine Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_33.txt,0.3
../scraping/offres\AI_and_ML\Machine Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_8.txt,0.4
../scraping/offres\AI_and_ML\Machine Learning_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_40.txt,0.6
../scraping/offres\AI_and_ML\Machine Learning_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_98.txt,0.3
../scraping/offres\AI_and_ML\Machine Learning_job_1.txt,../scraping/cvs\others\others_cv_20.txt,0.0
../scraping/offres\AI_and_ML\Natural Language Processing_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_8.txt,0.6
../scraping/offres\AI_and_ML\Natural Language Processing_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_3.txt,0.4
../scraping/offres\AI_and_ML\Natural Language Processing_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_52.txt,0.2
../scraping/offres\AI_and_ML\Natural Language Processing_job_1.txt,../scraping/cvs\others\others_cv_61.txt,0.1
../scraping/offres\AI_and_ML\Natural Language Processing_job_1.txt,../scraping/cvs\others\others_cv_171.txt,0.0
../scraping/offres\AI_and_ML\Neural Networks_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_11.txt,0.7
